species,year,state_gear,mtons
longspine thornyhead,1981,CA_Non-trawl,0.06411800310748876
longspine thornyhead,1981,CA_Trawl,108.80141427560969
longspine thornyhead,1982,CA_Non-trawl,0.0638831329781058
longspine thornyhead,1982,CA_Trawl,381.8764773446804
longspine thornyhead,1983,CA_Non-trawl,0.0620232364303692
longspine thornyhead,1983,CA_Trawl,197.9411230480798
longspine thornyhead,1984,CA_Non-trawl,0.038765455468292354
longspine thornyhead,1984,CA_Trawl,276.13746288242294
longspine thornyhead,1985,CA_Non-trawl,0.6041149573254397
longspine thornyhead,1985,CA_Trawl,528.5640834983359
longspine thornyhead,1986,CA_Non-trawl,1.0402762718637082
longspine thornyhead,1986,CA_Trawl,593.1326146422284
longspine thornyhead,1987,CA_Non-trawl,6.185806167587991
longspine thornyhead,1987,CA_Trawl,823.7700827908589
longspine thornyhead,1987,OR_Trawl,99.8221142405996
longspine thornyhead,1988,CA_Non-trawl,0.1332208049285096
longspine thornyhead,1988,CA_Trawl,2534.3185059037446
longspine thornyhead,1988,OR_Trawl,185.7308677741772
longspine thornyhead,1989,CA_Non-trawl,1.1563780471416916
longspine thornyhead,1989,CA_Trawl,2227.6601879372897
longspine thornyhead,1989,OR_Trawl,895.8057262151561
longspine thornyhead,1990,CA_Non-trawl,0.7607332360583329
longspine thornyhead,1990,CA_Trawl,3444.930067078782
longspine thornyhead,1990,OR_Trawl,2224.2050233047003
longspine thornyhead,1991,CA_Non-trawl,0.5271050879447113
longspine thornyhead,1991,CA_Trawl,1857.532326643732
longspine thornyhead,1991,OR_Trawl,1069.6329709671309
longspine thornyhead,1992,CA_Non-trawl,0.11792539804386112
longspine thornyhead,1992,CA_Trawl,2878.182522004605
longspine thornyhead,1992,OR_Trawl,2508.511339332983
longspine thornyhead,1993,CA_Non-trawl,1.5092487348242845
longspine thornyhead,1993,CA_Trawl,2555.7024852625345
longspine thornyhead,1993,OR_Trawl,2476.571033586749
longspine thornyhead,1994,CA_Trawl,2047.1406900923478
longspine thornyhead,1994,OR_Trawl,2368.0347609106134
longspine thornyhead,1995,CA_Non-trawl,52.41532521334649
longspine thornyhead,1995,CA_Trawl,2521.9395635521514
longspine thornyhead,1995,OR_Non-trawl,0.055338269186406136
longspine thornyhead,1995,OR_Trawl,2552.9463722568175
longspine thornyhead,1995,WA_Non-trawl,3.2917198318504055
longspine thornyhead,1995,WA_Trawl,381.719805768844
longspine thornyhead,1996,CA_Non-trawl,103.33866759472875
