year,fleet,prop
1981,CA_NONTWL,0.8885739031403925
1982,CA_NONTWL,0.8885587881270073
1983,CA_NONTWL,0.8841489784749894
1984,CA_NONTWL,0.9301312185669702
1985,CA_NONTWL,0.8734987308940624
1986,CA_NONTWL,0.8221045220906398
1987,CA_NONTWL,0.7445246954276411
1988,CA_NONTWL,0.9419598794961654
1989,CA_NONTWL,0.9021780572277144
1990,CA_NONTWL,0.8518498891676414
1991,CA_NONTWL,0.7701392414044559
1992,CA_NONTWL,0.987544737959719
1993,CA_NONTWL,0.5934721004898765
1994,CA_NONTWL,1
1995,CA_NONTWL,0.37429935773042994
1996,CA_NONTWL,0.43436214893321434
1997,CA_NONTWL,0.32715309517743896
1998,CA_NONTWL,0.748615931948947
1999,CA_NONTWL,0.4245084692763611
2000,CA_NONTWL,0.45323150199510115
2001,CA_NONTWL,0.5022990225629526
2002,CA_NONTWL,0.87894446688258
2003,CA_NONTWL,0.8971101332370167
2004,CA_NONTWL,0.9363990615027051
2005,CA_NONTWL,0.9001710108355441
2006,CA_NONTWL,0.8914863480057658
2007,CA_NONTWL,0.8796152829262891
2008,CA_NONTWL,0.937738791203025
2009,CA_NONTWL,0.8855181768874899
2010,CA_NONTWL,0.8882711185508487
2011,CA_NONTWL,0.904300636808985
2012,CA_NONTWL,0.9119999284491834
2013,CA_NONTWL,0.8906361154684737
2014,CA_NONTWL,0.8610967760559873
2015,CA_NONTWL,0.9234622063165505
2016,CA_NONTWL,0.908021151402489
2017,CA_NONTWL,0.9106551027938883
2018,CA_NONTWL,0.9047468099694007
2019,CA_NONTWL,0.8955613377302339
2020,CA_NONTWL,0.8797192920447381
2021,CA_NONTWL,0.867009069383975
2022,CA_NONTWL,0.8624962909865036
2023,CA_NONTWL,0.3459870212837497
1981,CA_TWL,0.9366435179679498
1982,CA_TWL,0.8124988269811609
1983,CA_TWL,0.8774038208740393
1984,CA_TWL,0.86963017110865
1985,CA_TWL,0.819388786883526
1986,CA_TWL,0.7971952356239823
1987,CA_TWL,0.6161750349082288
1988,CA_TWL,0.4368393125783789
1989,CA_TWL,0.5837266908937991
1990,CA_TWL,0.3568886043416595
1991,CA_TWL,0.349027282790888
1992,CA_TWL,0.33579720372565053
1993,CA_TWL,0.38081713351234037
1994,CA_TWL,0.36622280722128026
1995,CA_TWL,0.2692598577708307
1996,CA_TWL,0.23142571227024084
1997,CA_TWL,0.2543790606204091
1998,CA_TWL,0.33078863098674954
1999,CA_TWL,0.23336720617524398
2000,CA_TWL,0.3911348465290267
2001,CA_TWL,0.27444381315130467
2002,CA_TWL,0.25942335812357536
2003,CA_TWL,0.2792791081775111
2004,CA_TWL,0.39761990586301704
2005,CA_TWL,0.304509654871665
2006,CA_TWL,0.29001009745773726
2007,CA_TWL,0.3277612178772713
2008,CA_TWL,0.28033368233591105
2009,CA_TWL,0.3711931215961016
2010,CA_TWL,0.36102548185588396
2011,CA_TWL,0.3530005529373654
2012,CA_TWL,0.3557325026121973
2013,CA_TWL,0.3223580842318456
2014,CA_TWL,0.3002705001789501
2015,CA_TWL,0.3345657294036487
2016,CA_TWL,0.32725884601914873
2017,CA_TWL,0.2846331540140114
2018,CA_TWL,0.38260566381474637
2019,CA_TWL,0.449735569122543
2020,CA_TWL,0.5092012537616756
2021,CA_TWL,0.6641092812893411
2022,CA_TWL,0.6643710688105406
2023,CA_TWL,0.16153846153846163
1981,OR_NONTWL,NA
1982,OR_NONTWL,NA
1983,OR_NONTWL,NA
1984,OR_NONTWL,NA
1985,OR_NONTWL,NA
1986,OR_NONTWL,NA
1987,OR_NONTWL,1
1988,OR_NONTWL,1
1989,OR_NONTWL,1
1990,OR_NONTWL,NA
1991,OR_NONTWL,1
1992,OR_NONTWL,1
1993,OR_NONTWL,1
1994,OR_NONTWL,1
1995,OR_NONTWL,0.9896469464474726
1996,OR_NONTWL,0.9466453674121406
1997,OR_NONTWL,0.9388849876301348
1998,OR_NONTWL,0.9682646860229573
1999,OR_NONTWL,0.9899497487437187
2000,OR_NONTWL,0.9762540813297714
2001,OR_NONTWL,0.6859849540261913
2002,OR_NONTWL,0.9880493453168727
2003,OR_NONTWL,0.9115853658536587
2004,OR_NONTWL,0.9281496062992125
2005,OR_NONTWL,0.9952718676122931
2006,OR_NONTWL,1
2007,OR_NONTWL,0.9674620390455531
2008,OR_NONTWL,0.9738134206219312
2009,OR_NONTWL,0.9757325094514794
2010,OR_NONTWL,0.9581528849705948
2011,OR_NONTWL,0.9960508262609391
2012,OR_NONTWL,0.9704513600120674
2013,OR_NONTWL,0.6574788119416659
2014,OR_NONTWL,0.9868337318781776
2015,OR_NONTWL,0.9520674193548387
2016,OR_NONTWL,0.9948125798094504
2017,OR_NONTWL,0.9903926213902342
2018,OR_NONTWL,0.9662839897032282
2019,OR_NONTWL,0.9986859395532194
2020,OR_NONTWL,0.9916941500752425
2021,OR_NONTWL,0.993049124616684
2022,OR_NONTWL,0.9931459224100381
2023,OR_NONTWL,1
1981,OR_TWL,NA
1982,OR_TWL,NA
1983,OR_TWL,NA
1984,OR_TWL,NA
1985,OR_TWL,NA
1986,OR_TWL,NA
1987,OR_TWL,0.8523617047547463
1988,OR_TWL,0.8170857628351998
1989,OR_TWL,0.6336840180552503
1990,OR_TWL,0.46890715927066035
1991,OR_TWL,0.685796290970018
1992,OR_TWL,0.39194916896400556
1993,OR_TWL,0.3661604284475796
1994,OR_TWL,0.37414407036073805
1995,OR_TWL,0.23363881205219164
1996,OR_TWL,0.24489551817636054
1997,OR_TWL,0.24867180560525007
1998,OR_TWL,0.3497227976919921
1999,OR_TWL,0.31292677420613374
2000,OR_TWL,0.29032799922438585
2001,OR_TWL,0.2883993266067617
2002,OR_TWL,0.24294792422801997
2003,OR_TWL,0.3032863502816656
2004,OR_TWL,0.5723962309120129
2005,OR_TWL,0.6566292864980282
2006,OR_TWL,0.581004767265385
2007,OR_TWL,0.6338135996535891
2008,OR_TWL,0.6145207994764571
2009,OR_TWL,0.6144455079363715
2010,OR_TWL,0.49207124308738137
2011,OR_TWL,0.5245226154034096
2012,OR_TWL,0.5239962042586236
2013,OR_TWL,0.5723287206984352
2014,OR_TWL,0.6198867353472886
2015,OR_TWL,0.6554744192952853
2016,OR_TWL,0.6769680307627274
2017,OR_TWL,0.5717576674412759
2018,OR_TWL,0.726464454327097
2019,OR_TWL,0.8102362785828603
2020,OR_TWL,0.8960222346702226
2021,OR_TWL,0.9053226727034723
2022,OR_TWL,0.9393526152898084
2023,OR_TWL,0.8635717363378944
1981,WA_NONTWL,NA
1982,WA_NONTWL,NA
1983,WA_NONTWL,NA
1984,WA_NONTWL,NA
1985,WA_NONTWL,NA
1986,WA_NONTWL,NA
1987,WA_NONTWL,NA
1988,WA_NONTWL,1
1989,WA_NONTWL,1
1990,WA_NONTWL,1
1991,WA_NONTWL,1
1992,WA_NONTWL,1
1993,WA_NONTWL,1
1994,WA_NONTWL,1
1995,WA_NONTWL,0.8608671978649816
1996,WA_NONTWL,0.9817867036965412
1997,WA_NONTWL,0.9821142566647898
1998,WA_NONTWL,0.9985113639563027
1999,WA_NONTWL,0.9997953714184152
2000,WA_NONTWL,0.9931927416356032
2001,WA_NONTWL,1
2002,WA_NONTWL,0.9986255827910748
2003,WA_NONTWL,0.9914790296283803
2004,WA_NONTWL,0.9995047839847933
2005,WA_NONTWL,0.997240492781049
2006,WA_NONTWL,1
2007,WA_NONTWL,1
2008,WA_NONTWL,0.9999755912444553
2009,WA_NONTWL,1
2010,WA_NONTWL,0.9231589974392799
2011,WA_NONTWL,0.9762533702624131
2012,WA_NONTWL,0.9968746291653172
2013,WA_NONTWL,0.9280041472158311
2014,WA_NONTWL,0.9937920670308891
2015,WA_NONTWL,0.9983329082329864
2016,WA_NONTWL,0.9813705624924948
2017,WA_NONTWL,0.9956072355737816
2018,WA_NONTWL,0.9896186344979795
2019,WA_NONTWL,0.9655039938750113
2020,WA_NONTWL,0.9984161636125953
2021,WA_NONTWL,0.9630729868644692
2022,WA_NONTWL,0.9788058985840326
2023,WA_NONTWL,NA
1981,WA_TWL,1
1982,WA_TWL,1
1983,WA_TWL,1
1984,WA_TWL,1
1985,WA_TWL,1
1986,WA_TWL,1
1987,WA_TWL,1
1988,WA_TWL,1
1989,WA_TWL,1
1990,WA_TWL,1
1991,WA_TWL,1
1992,WA_TWL,1
1993,WA_TWL,1
1994,WA_TWL,1
1995,WA_TWL,0.31493230656655175
1996,WA_TWL,0.31212441652351475
1997,WA_TWL,0.32319461154339074
1998,WA_TWL,0.4892883555439806
1999,WA_TWL,0.5788812211847629
2000,WA_TWL,0.7237135092336112
2001,WA_TWL,0.6937254272612483
2002,WA_TWL,0.7281928577398245
2003,WA_TWL,0.5260492752585497
2004,WA_TWL,0.7301730687819976
2005,WA_TWL,0.9845688571318516
2006,WA_TWL,0.9679675256779172
2007,WA_TWL,0.879191095512682
2008,WA_TWL,0.9474945920574028
2009,WA_TWL,0.698088422570934
2010,WA_TWL,0.6917205969121867
2011,WA_TWL,0.42739819945528046
2012,WA_TWL,0.6353587115353123
2013,WA_TWL,0.563070508682741
2014,WA_TWL,0.6250886334737225
2015,WA_TWL,0.9348637499149431
2016,WA_TWL,0.9951610949385712
2017,WA_TWL,0.9185325597260225
2018,WA_TWL,0.8568777023488364
2019,WA_TWL,0.8765123684099412
2020,WA_TWL,0.9331708588815012
2021,WA_TWL,0.5797582652160262
2022,WA_TWL,0.8836993246804857
2023,WA_TWL,0.894736842105263
