"type","Quantity","values"
Mohn,SSB,0.0215527194643445
Mohn,Recruitment,0.918215468642167
Mohn,Fraction unfished,0.12561545467783
Mohn,F,0.0767153670362109
NEFSC,SSB,-0.0668613447705186
NEFSC,Recruitment,0.0929220202835206
NEFSC,Fraction unfished,0.0367231172069772
NEFSC,F,0.0671511660999676
AFSC,SSB,0.0043105438928689
AFSC,Recruitment,0.183643093728433
AFSC,F,0.0153430734072422
AFSC,Fraction unfished,0.0251230909355659
