Label,Phase,23.model.francis_2,23.growth.high,23.growth.low
SR_LN(R0),4,10.2147,9.4205,10.9608
LnQ_base_Triennial1(4),-1,-0.934709,-0.224825,-1.65977
LnQ_base_NWFSCcombo(6),-1,-0.195334,0.448096,-0.931862
