"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40"
1999,"Enter Month","Enter Fleet",3,0,"Enter","Enter","Enter",434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",3,0,"Enter","Enter","Enter",386,0,0,0,0.219555890876999,1.99909745093836,0.896754790626714,11.7408939463962,0.604118004070258,1.5458349457531,2.48616422042869,3.64586233368876,0.761581233939603,11.5448544437361,0.0572336514556322,0.525764843773925,1.25151903861734,0.0484552438674688,0.0927735870330827,0.141228830900552,0,0,1.71501721925104,0.401153216533822,1.06460159775718,1.34501473450059,0,0.466530167793736,0.420123799037281,0,0,0.337646788199036,0,0.0484552438674688,0,0,0,0.748526723943529,0,0,0,0.748770326929127,0,0,0,1.5458349457531,0.422964383851488,9.50560165065383,0,5.11032518214543,5.01026960586429,5.10003730605722,1.00736794630155,10.0621605218394,0.0484552438674688,3.91714470852555,4.65251687124677,0.62070910741082,0,4.65251687124677,0.186047430197304,0.154344241643026,0,0.0872794696971806,1.34680695646606,0,0,0,0.337646788199036,0,0,0,0.118121347695237,0,0,0,0.194834537892096,0,0.0767131901968591,0.118121347695237,0,0,0.866648071638766
