"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1"
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",14,14,2,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",16,16,2,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",18,18,3,0,0,0,33.3333333333333,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",20,20,7,0,0,0,0,28.5714285714286,0,28.5714285714286,0,28.5714285714286,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5714285714286,0,28.5714285714286,0,28.5714285714286,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",22,22,4,0,0,0,0,50,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",24,24,7,0,0,0,0,0,0,42.8571428571429,14.2857142857143,0,0,42.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8571428571429,14.2857142857143,0,0,42.8571428571429,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",26,26,2,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",28,28,7,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,0,14.2857142857143,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,0,14.2857142857143,0,0,0,0,14.2857142857143
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",30,30,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",32,32,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",34,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",36,36,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",40,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",44,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",2,0,"Enter Age Error",46,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
