"Year","Season","Fleet","Value","seLogB"
"1998",NA,NA,6781.13697105202,0.0638867363982446
"1999",NA,NA,7529.89337604442,0.0899879738618028
"2000",NA,NA,7383.18181233108,0.111914592823468
"2001",NA,NA,7172.07767630805,0.0669383131897995
"2002",NA,NA,9266.88914201765,0.0726815170068565
