"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1","F16.1","F17.1","F18.1","F19.1","F20.1","F21.1","F22.1"
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",16,16,2,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",18,18,8,0,0,12.5,25,12.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,12.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",20,20,5,0,0,0,0,20,20,0,0,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,20,0,0,0,0,0,20,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",22,22,4,0,0,0,0,0,0,25,25,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,50,0,0,0,0,0,0,0,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",24,24,8,0,0,0,0,0,0,25,0,12.5,0,0,25,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,25,0,12.5,0,0,25,0,12.5,12.5,0,0,0,0,0,0,12.5
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",26,26,2,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",28,28,5,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,20,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",30,30,6,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,16.6666666666667,0,0,16.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,16.6666666666667,0,0,16.6666666666667,16.6666666666667,0,0,0,0
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",32,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,33.3333333333333
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",34,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,50
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",36,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",38,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",42,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",56,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",58,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,"Enter Month","Enter Fleet",1,0,"Enter Age Error",64,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
