Label,Phase,23.model.francis_2,23.landings.4fleet
SR_LN(R0),4,9.35448,9.07855
LnQ_base_Triennial1(4),-1,-0.472564,NA
LnQ_base_NWFSCcombo(6),-1,0.182302,NA
LnQ_base_Triennial_Early(5),-1,NA,-0.251049
LnQ_base_NWFSCcombo(7),-1,NA,0.476515
